model,config_id,model_config,rows,train_size,test_size,training_seconds,accuracy,precision,recall,f1,roc_auc,precision_at_10,recall_at_10,ndcg_at_10,users_evaluated,params_json
lightgbm,lgbm_01,lightgbm_lgbm_01,200000,159968,40032,4.9548,0.7247452038369304,0.7437286666305467,0.6858013589128698,0.7135913497777662,0.7979241444474316,0.6551518438177873,0.7938157063385094,0.8378709898653247,1844,"{""n_estimators"": 250, ""learning_rate"": 0.06, ""num_leaves"": 31, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
lightgbm,lgbm_02,lightgbm_lgbm_02,200000,159968,40032,4.6222,0.7282923661071143,0.7458967873863208,0.6924960031974421,0.718205134848053,0.8027715542394223,0.65970715835141,0.7985146157024942,0.84399098293723,1844,"{""n_estimators"": 450, ""learning_rate"": 0.045, ""num_leaves"": 31, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
lightgbm,lgbm_03,lightgbm_lgbm_03,200000,159968,40032,5.8559,0.7317895683453237,0.750418308414746,0.6945943245403677,0.7214280154632489,0.8061950082719596,0.6592733188720172,0.797993550225585,0.8445751897096239,1844,"{""n_estimators"": 650, ""learning_rate"": 0.035, ""num_leaves"": 31, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
lightgbm,lgbm_04,lightgbm_lgbm_04,200000,159968,40032,5.9833,0.7551708633093526,0.7670588235294118,0.7329136690647482,0.7495976086456657,0.8291165391527704,0.677169197396963,0.8164443281632215,0.8665842338618304,1844,"{""n_estimators"": 450, ""learning_rate"": 0.045, ""num_leaves"": 63, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
lightgbm,lgbm_05,lightgbm_lgbm_05,200000,159968,40032,9.2812,0.7535971223021583,0.7662051604782882,0.729916067146283,0.7476205096714769,0.8269790529986083,0.6764642082429502,0.8155112982725784,0.865441247554244,1844,"{""n_estimators"": 650, ""learning_rate"": 0.03, ""num_leaves"": 63, ""subsample"": 0.8, ""colsample_bytree"": 0.8}"
lightgbm,lgbm_06,lightgbm_lgbm_06,200000,159968,40032,4.6417,0.70603517186251,0.7286031042128603,0.6566746602717826,0.6907714946394786,0.7784649403778335,0.636876355748373,0.7761766750293593,0.8170626537831331,1844,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""num_leaves"": 15, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
random_forest,rf_01,random_forest_rf_01,200000,159968,40032,7.5814,0.6440347721822542,0.6765462339252909,0.5519584332533973,0.6079348484014747,0.7160972935280872,0.5986984815618221,0.7409897046219116,0.7536977490441831,1844,"{""n_estimators"": 180, ""max_depth"": 16, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
random_forest,rf_02,random_forest_rf_02,200000,159968,40032,12.2984,0.64828137490008,0.6850835619855326,0.5488609112709832,0.6094530123155442,0.7277205713446828,0.6079175704989154,0.7505789672971358,0.7644329097654041,1844,"{""n_estimators"": 260, ""max_depth"": 20, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
random_forest,rf_03,random_forest_rf_03,200000,159968,40032,18.1577,0.6508043565147882,0.6905738998674159,0.5464628297362111,0.6101241110026495,0.7369669774272509,0.6141540130151844,0.7569879525786168,0.7726666294439154,1844,"{""n_estimators"": 320, ""max_depth"": 24, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
random_forest,rf_04,random_forest_rf_04,200000,159968,40032,10.7554,0.6472821742605915,0.6839281257798852,0.5476618705035972,0.6082565752968594,0.7242628758703669,0.6046637744034707,0.7468567338294042,0.7608174392802998,1844,"{""n_estimators"": 260, ""max_depth"": 20, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}"
random_forest,rf_05,random_forest_rf_05,200000,159968,40032,22.3215,0.6510541566746603,0.681580685844694,0.5669964028776978,0.6190307360842174,0.731141892541123,0.6081887201735358,0.7498361161409188,0.7669130158335362,1844,"{""n_estimators"": 320, ""max_depth"": null, ""min_samples_leaf"": 3, ""max_features"": ""log2""}"
